,Participant,Block,Condition,Trial,RT,Correct,Orientation,Agegr,Sacstart,Sacend,Sacduration,Xstart,Ystart,Xend,Yend,Amplitude,Velocity
294,1,15,dA,22,0.857,1,0,Young,834,873,40,847.7,343.7,841.5,285.4,1.49,255
295,1,15,dA,23,1.612,0,0,Young,171,231,61,799,387.7,755.6,172.3,5.56,434
296,1,15,dA,24,1.128,1,0,Young,543,693,151,744.3,182.2,812.1,544.5,9.22,264
297,1,15,dA,25,1.274,0,0,Young,789,866,78,829.9,525,803.6,129.7,10.01,548
298,1,15,dA,26,5.331,0,0,Young,424,535,112,797.3,251.7,846.3,680.5,10.66,226
299,1,15,dA,27,0.785,1,0,Young,594,667,74,853.5,658.7,778,219.5,11.01,608
300,1,15,dA,28,1.389,0,0,Young,184,237,54,969.7,401.8,842.8,243.8,4.67,339
301,1,15,dA,29,1.19,0,0,Young,497,590,94,837.3,234,818.2,603.7,9.26,222
302,1,15,dA,30,0.821,1,0,Young,663,740,78,829.6,604.9,805.1,228.2,9.44,480
303,1,15,dA,31,0.794,1,0,Young,-58,112,171,812.9,237,830.8,285.9,1.3,336
304,1,15,dA,32,6.414,0,0,Young,244,281,38,835.4,305.4,925.7,322.7,1.74,176
305,1,16,dV,17,1,0,3,Young,649,680,32,943.3,289.6,941.8,266.4,0.6,138
306,1,16,dV,18,1.159,0,1,Young,101,122,22,989.4,366.7,917.4,369.6,1.34,104
307,1,16,dV,19,4.489,0,1,Young,245,297,53,936,372.9,873.6,217.3,4.15,387
308,1,16,dV,20,6.301,0,1,Young,157,231,75,416.7,10.9,866.1,263.8,10.49,573
309,1,16,dV,21,1.878,1,4,Young,533,556,24,865.5,264.7,902.2,210.2,1.56,131
310,1,16,dV,22,1.972,1,2,Young,140,181,42,766.8,214.2,872.8,255.8,2.25,303
311,1,16,dV,23,1.01,1,3,Young,664,682,19,894.5,270.6,925.7,253.9,0.72,78
312,1,16,dV,24,3.236,1,3,Young,968,978,11,909.8,244.4,877.5,229.6,0.71,75
313,1,16,dV,25,1.185,1,4,Young,222,245,24,816.9,246.9,830.7,292.9,1.21,119
314,1,16,dV,26,2.562,0,4,Young,729,745,17,832.5,291.7,877.2,285.4,0.85,82
315,1,16,dV,27,0.678,1,2,Young,59,84,26,777.7,249.5,825.6,272,1.06,101
316,1,16,dV,28,4.105,0,3,Young,277,309,33,827.4,268.9,848.1,313.6,1.21,166
317,1,16,dV,29,1.343,0,1,Young,781,817,37,855.7,317.2,845.2,289.9,0.72,149
318,1,16,dV,30,2.708,1,4,Young,-93,140,234,777.7,277,813.2,254.8,0.87,542
319,1,16,dV,31,0.981,1,2,Young,692,744,53,827.8,278.1,872.3,259.1,0.96,129
320,1,16,dV,32,1.073,1,3,Young,-4,183,188,1090,318.4,814.3,315.5,5.13,359
321,1,17,A,33,2.208,0,0,Young,330,389,60,815.8,300.2,820,174.7,3.22,323
322,1,17,A,34,0.614,0,0,Young,736,761,26,812.3,184.6,819.7,227.4,1.11,132
323,1,17,A,35,0.923,0,0,Young,159,194,36,806.1,230,846.6,294.3,1.81,217
324,1,17,A,36,5.499,0,0,Young,516,537,22,874.9,309.3,923.9,277.2,1.23,126
325,1,17,A,37,0.982,1,0,Young,198,268,71,438.1,22.2,880.3,231.9,9.76,514
326,1,17,A,38,1.461,1,0,Young,610,632,23,872.5,239.6,911.9,239.8,0.74,76
327,1,17,A,39,4.488,1,0,Young,872,884,13,908.5,238.7,875,251.8,0.71,70
328,1,17,A,40,2.59,0,0,Young,91,115,25,829.1,268.9,728.5,292.8,1.97,165
329,1,17,A,41,4.418,0,0,Young,212,253,42,742,291.4,836.1,309,1.8,239
330,1,17,A,42,2.959,0,0,Young,512,522,11,873.3,304.6,843.8,295.4,0.6,66
331,1,17,A,43,7.925,0,0,Young,801,822,22,863.3,279.5,905.6,249.3,1.11,107
332,1,17,A,44,1.069,1,0,Young,91,114,24,820.8,266.5,767.6,338.2,2.08,173
333,1,17,A,45,3.467,0,0,Young,206,257,52,767.4,331.6,881.4,209.7,3.77,350
334,1,17,A,46,0.696,0,0,Young,458,492,35,888.8,222.1,870.3,253.2,0.87,155
335,1,17,A,47,0.597,1,0,Young,910,930,21,853.1,239.9,848.7,188.4,1.33,134
336,1,17,A,48,4.614,0,0,Young,76,212,137,838.3,145.2,790.3,324,4.68,566
337,1,18,AdV,33,0.875,1,2,Young,653,658,6,787.3,287.1,777.2,279.1,0.28,58
338,1,18,AdV,34,0.754,0,2,Young,837,842,6,779.3,280,781.2,294,0.36,58
339,1,18,AdV,35,4.539,0,4,Young,941,981,41,780.8,293.8,796.3,263.7,0.82,118
340,1,18,AdV,36,0.978,0,3,Young,213,253,41,791.7,266.9,875.5,231.1,1.81,210
