,Unnamed: 0,Participant,Block,Condition,Trial,RT,Correct,Orientation,Agegr,Sacstart,Sacend,Sacduration,Xstart,Ystart,Xend,Yend,Amplitude,Velocity,Larger,Duration
20,85,1,2,V,5,7.668,0,0,Young,896,918,23,807.3,251.3,864.4,239.7,1.11,124,False,0.008951612903225808
21,86,1,2,V,6,2.6,0,0,Young,128,171,44,858.9,257.4,862.1,331.2,1.89,166,False,0.011385542168674698
22,87,1,2,V,7,1.126,1,0,Young,599,610,12,877.6,339.6,839.6,345.4,0.72,72,False,0.01
23,88,1,2,V,8,1.083,0,0,Young,2,225,224,782.7,350.4,789.3,329.1,0.55,585,False,0.0009401709401709403
24,89,1,2,V,9,0.635,1,0,Young,373,411,39,804.3,324.1,848.1,317.3,0.83,183,False,0.00453551912568306
25,90,1,2,V,10,1.869,1,0,Young,988,1009,22,877.1,322.3,918.5,311.1,0.82,103,False,0.007961165048543689
26,91,1,2,V,11,0.841,1,0,Young,162,185,24,813.1,229.6,843.0,319.2,2.36,217,False,0.010875576036866359
27,92,1,2,V,12,0.862,1,0,Young,470,488,19,833.5,299.3,775.5,292.4,1.09,110,False,0.009909090909090909
28,93,1,2,V,13,3.47,0,0,Young,784,803,20,776.8,312.5,836.9,294.9,1.2,113,False,0.010619469026548672
29,94,1,2,V,14,1.042,1,0,Young,55,84,30,756.8,177.6,816.7,281.1,2.88,256,False,0.01125
30,95,1,2,V,15,7.771,1,0,Young,536,556,21,834.7,282.9,806.2,276.3,0.56,80,False,0.007000000000000001
31,96,1,2,V,16,0.86,1,0,Young,-20,159,180,867.8,214.0,812.3,228.6,1.1,426,False,0.002582159624413146
32,97,1,3,dAdV,1,1.249,1,3,Young,608,630,23,810.5,226.6,837.3,223.1,0.51,81,False,0.006296296296296296
33,98,1,3,dAdV,2,0.781,0,4,Young,916,933,18,829.6,230.4,770.1,228.6,1.11,94,False,0.011808510638297874
34,99,1,3,dAdV,3,1.872,1,3,Young,224,260,37,847.6,235.6,847.6,283.3,1.22,204,False,0.005980392156862745
35,100,1,3,dAdV,4,0.816,0,4,Young,883,891,9,835.0,281.9,816.3,285.0,0.36,49,False,0.007346938775510204
36,101,1,3,dAdV,5,4.834,0,1,Young,23,44,22,776.7,219.5,856.5,236.7,1.55,130,False,0.011923076923076923
37,102,1,3,dAdV,6,2.678,0,1,Young,280,303,24,844.4,235.3,892.2,276.6,1.38,158,False,0.008734177215189872
38,103,1,3,dAdV,7,1.712,1,4,Young,142,181,40,779.8,242.6,871.6,245.5,1.71,228,False,0.0075
39,104,1,3,dAdV,8,2.507,1,3,Young,158,204,47,824.9,277.2,938.5,323.8,2.43,278,False,0.008741007194244605
40,105,1,3,dAdV,9,4.463,0,2,Young,510,532,23,947.9,344.3,917.4,318.2,0.87,85,False,0.01023529411764706
41,106,1,3,dAdV,10,0.892,1,3,Young,927,943,17,901.9,333.9,938.2,315.3,0.83,75,False,0.011066666666666666
42,107,1,3,dAdV,11,1.593,0,4,Young,-95,71,167,831.4,307.3,835.6,288.8,0.48,676,False,0.0007100591715976331
43,108,1,3,dAdV,12,2.24,0,3,Young,227,260,34,831.6,280.6,856.1,301.5,0.7,152,False,0.004605263157894736
44,109,1,3,dAdV,13,6.399,1,2,Young,567,581,15,866.4,305.6,838.2,279.1,0.86,85,False,0.01011764705882353
45,110,1,3,dAdV,14,1.026,1,2,Young,90,196,107,814.3,245.3,951.2,317.6,3.15,350,False,0.009
46,111,1,3,dAdV,15,0.826,1,1,Young,646,668,23,956.3,318.3,970.3,286.4,0.86,120,False,0.007166666666666667
47,112,1,3,dAdV,16,4.548,1,4,Young,259,291,33,846.5,205.5,862.7,232.8,0.76,160,False,0.00475
48,113,1,4,A,1,6.073,0,0,Young,600,607,8,868.4,260.2,856.7,242.5,0.5,65,False,0.007692307692307693
49,114,1,4,A,2,0.729,1,0,Young,843,847,5,859.8,246.7,861.0,256.8,0.26,48,False,0.005416666666666667
50,115,1,4,A,3,9.896,1,0,Young,987,1008,22,859.4,259.3,911.0,248.3,1.0,96,False,0.010416666666666666
51,116,1,4,A,4,4.121,1,0,Young,195,219,25,766.6,226.2,815.4,261.1,1.28,157,False,0.008152866242038218
